timestamp,input_text,bilstm_emotion,bilstm_confidence,bert_emotion,bert_confidence,final_emotion,final_confidence,mixed_emotions,guidance
2026-07-13T13:25:57,"I'm Lost on recursion
",,,Confused,0.3636,Confused,0.3636,Confused,"It's completely okay to feel confused here — that usually means you're right at the edge of learning something new. Try breaking the problem into the smallest possible sub-step, work through one concrete example by hand, and re-read only the section that covers that exact sub-step before moving on."
2026-07-13T14:00:56,"i am failed in exam today
",Confused,0.2066,Frustrated,0.2341,Frustrated,0.2172,Frustrated; Bored; Confident; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T14:01:26,"i am failed in exam today
",Confused,0.2066,,,Confused,0.2066,Confused; Bored; Frustrated; Curious; Confident,"It's completely okay to feel confused here — that usually means you're right at the edge of learning something new. Try breaking the problem into the smallest possible sub-step, work through one concrete example by hand, and re-read only the section that covers that exact sub-step before moving on."
2026-07-13T14:01:28,"i am failed in exam today
",Confused,0.2066,,,Confused,0.2066,Confused; Bored; Frustrated; Curious; Confident,"It's completely okay to feel confused here — that usually means you're right at the edge of learning something new. Try breaking the problem into the smallest possible sub-step, work through one concrete example by hand, and re-read only the section that covers that exact sub-step before moving on."
2026-07-13T14:01:37,"i am failed in exam today
",,,Frustrated,0.2341,Frustrated,0.2341,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T14:03:00,"i passed the exam today
",,,Frustrated,0.2406,Frustrated,0.2406,Frustrated; Confident; Bored; Confused; Curious,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:41:39,I'm so moody,Confused,0.2069,Frustrated,0.2177,Bored,0.2097,Bored; Frustrated; Confident; Curious; Confused,"Sounds like the material isn't challenging you right now. Try applying the same concept to a harder or more unusual example, teach it to someone else in one sentence, or skip ahead and see how this topic connects to something more advanced."
2026-07-13T15:42:24,I'm so moody,Confused,0.2069,Frustrated,0.2177,Bored,0.2097,Bored; Frustrated; Confident; Curious; Confused,"Sounds like the material isn't challenging you right now. Try applying the same concept to a harder or more unusual example, teach it to someone else in one sentence, or skip ahead and see how this topic connects to something more advanced."
2026-07-13T15:42:40,I'm so encouraged,Confused,0.2069,Bored,0.217,Bored,0.2102,Bored; Frustrated; Confident; Curious; Confused,"Sounds like the material isn't challenging you right now. Try applying the same concept to a harder or more unusual example, teach it to someone else in one sentence, or skip ahead and see how this topic connects to something more advanced."
2026-07-13T15:43:27,I'm so happy,Confident,0.3929,Confident,0.4173,Confident,0.4051,Confident,"You're in a strong spot right now — a great time to test that confidence with a slightly harder variation of the problem, or to time yourself solving a similar one to build exam speed."
2026-07-13T15:44:00,I'm so irritateed,Confused,0.2069,Confident,0.2228,Frustrated,0.2097,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:45:02,My favourite food is anything I didn't have to cook myself,Confused,0.206,Frustrated,0.2398,Frustrated,0.2193,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:45:57,WHY THE FUCK IS BAYLESS ISOING,Confused,0.2065,Frustrated,0.2324,Frustrated,0.2159,Frustrated; Confident; Bored; Confused; Curious,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:46:21,To make her feel threatened,Confused,0.2068,Frustrated,0.2308,Frustrated,0.2155,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:47:28,"OMG , SO powerfuil",Confused,0.2066,Frustrated,0.2307,Frustrated,0.2152,Frustrated; Bored; Confident; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:54:06,I am happy to see you heree,Confident,0.3932,Confident,0.405,Confident,0.3991,Confident,"You're in a strong spot right now — a great time to test that confidence with a slightly harder variation of the problem, or to time yourself solving a similar one to build exam speed."
2026-07-13T15:54:29,So great to see you,Confused,0.2071,Bored,0.2225,Bored,0.2128,Bored; Frustrated; Confident; Curious; Confused,"Sounds like the material isn't challenging you right now. Try applying the same concept to a harder or more unusual example, teach it to someone else in one sentence, or skip ahead and see how this topic connects to something more advanced."
2026-07-13T15:54:49,The time is not passing.,Confused,0.2068,Frustrated,0.2359,Frustrated,0.218,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:55:19,I am so annoyed,Frustrated,0.4002,Frustrated,0.4159,Frustrated,0.4081,Frustrated,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:56:24,"I finally understood recursion today, it feels amazing!",Confused,0.2067,Frustrated,0.2319,Frustrated,0.2161,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:56:36,"I finally understood today, it feels amazing!",Confused,0.2064,Frustrated,0.2398,Frustrated,0.2202,Frustrated; Confident; Bored; Curious; Confused,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T15:56:48,"I finally understood today, it feels amazing!",Confused,0.2064,Frustrated,0.2398,Frustrated,0.2202,Frustrated; Confident; Bored; Curious; Confused,
2026-07-13T15:57:10,I love how everything is clicking into place this week.,Confused,0.206,Frustrated,0.2329,Frustrated,0.2159,Frustrated; Confident; Bored; Curious; Confused,
2026-07-13T15:57:30,I love how  happy everything is clicking into place this week.,Confident,0.3931,Confident,0.4231,Confident,0.4081,Confident,
2026-07-13T15:58:56,I am so Bored,Bored,0.4033,Bored,0.4165,Bored,0.4099,Bored,
2026-07-13T15:59:19,"I finally understood recursion today, it feels Happy!",Confident,0.3927,Confident,0.4246,Confident,0.4086,Confident,
2026-07-13T16:00:36,"I finally understood recursion today, it feels happy!",Confident,0.3927,Confident,0.4246,Confident,0.4086,Confident,"You're in a strong spot right now — a great time to test that confidence with a slightly harder variation of the problem, or to time yourself solving a similar one to build exam speed."
2026-07-13T16:00:56,I am So Annoyed,Frustrated,0.4002,Frustrated,0.4159,Frustrated,0.4081,Frustrated,"That frustration is valid — you've clearly put in real effort. Step away for 5 minutes, then come back and isolate exactly where it breaks (print/log intermediate values). Fixing one small piece at a time will rebuild momentum faster than trying to fix everything at once."
2026-07-13T16:01:21,I am Getting Bored,Bored,0.4034,Bored,0.4079,Bored,0.4056,Bored,"Sounds like the material isn't challenging you right now. Try applying the same concept to a harder or more unusual example, teach it to someone else in one sentence, or skip ahead and see how this topic connects to something more advanced."
