text,emotion
I'm so lost on recursion I don't even know where to start,Confused
This topic is actually really interesting I want to learn more,Curious
I have solved three problems in a row I feel great about this exam,Confident
I have read this chapter five times and nothing makes sense,Frustrated
I already know this material and it's putting me to sleep,Bored
Why does backpropagation actually work I need to understand the math,Curious
I keep getting the same error and I want to throw my laptop,Frustrated
I understood pointers today and I feel unstoppable,Confident
Not sure what a transformer even does can someone explain,Confused
This lecture is going so slow I am checking the clock every minute,Bored
I am curious how GANs generate realistic images,Curious
I am confident I will pass tomorrow's DBMS exam,Confident
Nothing about SQL joins is making sense to me right now,Confused
I have redone this assignment four times and still fail the test cases,Frustrated
We already covered this in the last three classes so boring,Bored
How do neural networks actually learn weights I want to dig deeper,Curious
I finally cracked the DP problem and I feel amazing,Confident
I don't understand why my model's loss isn't decreasing,Confused
I am so frustrated my code keeps crashing with no clear error,Frustrated
This review session is repeating stuff I already mastered,Bored
